Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Percent Change,Close_MA_3,Close_STD_3,Volume_MA_3,Volume_Spike,Down_Trend,Consecutive_Drops,Trust Score
2025-01-27 00:00:00-05:00,422.39,433.53,421.88,432.9,35647800.0,0.0,0.0,,,,,0.0,0.0,,10.0
2025-01-28 00:00:00-05:00,432.94,446.66,429.73,445.49,23491700.0,0.0,0.0,2.91,,,,0.0,0.0,,9.0
2025-01-29 00:00:00-05:00,444.98,445.17,438.71,440.64,23581400.0,0.0,0.0,-1.09,439.67,6.35,27573633.33,0.0,1.0,1.0,7.0
2025-01-30 00:00:00-05:00,417.17,421.24,411.58,413.4,54586300.0,0.0,0.0,-6.18,433.17,17.3,33886466.67,0.0,1.0,2.0,7.0
2025-01-31 00:00:00-05:00,417.38,419.08,413.32,413.47,34161900.0,0.0,0.0,0.02,422.5,15.7,37443200.0,0.0,0.0,2.0,8.0
2025-02-03 00:00:00-05:00,410.02,413.82,407.09,409.35,25679100.0,0.0,0.0,-1.0,412.07,2.36,38142433.33,0.0,1.0,2.0,10.0
2025-02-04 00:00:00-05:00,411.11,412.33,408.17,410.79,20532100.0,0.0,0.0,0.35,411.2,2.09,26791033.33,0.0,0.0,1.0,10.0
2025-02-05 00:00:00-05:00,410.77,412.25,408.83,411.71,16316700.0,0.0,0.0,0.22,410.61,1.19,20842633.33,0.0,0.0,1.0,10.0
2025-02-06 00:00:00-05:00,412.41,416.6,412.41,414.23,16309800.0,0.0,0.0,0.61,412.24,1.78,17719533.33,0.0,0.0,0.0,10.0
2025-02-07 00:00:00-05:00,414.88,417.05,406.54,408.18,22886800.0,0.0,0.0,-1.46,411.37,3.04,18504433.33,0.0,1.0,1.0,7.0
2025-02-10 00:00:00-05:00,412.13,413.87,409.35,410.64,20817900.0,0.0,0.0,0.6,411.02,3.04,20004833.33,0.0,0.0,1.0,8.0
2025-02-11 00:00:00-05:00,408.07,410.91,407.73,409.86,18140600.0,0.0,0.0,-0.19,409.56,1.26,20615100.0,0.0,1.0,2.0,10.0
2025-02-12 00:00:00-05:00,405.65,409.18,402.82,407.47,19121700.0,0.0,0.0,-0.58,409.33,1.65,19360066.67,0.0,1.0,2.0,10.0
2025-02-13 00:00:00-05:00,405.44,409.43,404.8,408.97,23891700.0,0.0,0.0,0.37,408.77,1.21,20384666.67,0.0,0.0,2.0,10.0
2025-02-14 00:00:00-05:00,406.23,407.34,404.33,406.87,22758500.0,0.0,0.0,-0.51,407.77,1.08,21923966.67,0.0,1.0,2.0,10.0
2025-02-18 00:00:00-05:00,406.44,409.03,404.94,408.07,21423100.0,0.0,0.0,0.3,407.97,1.05,22691100.0,0.0,0.0,1.0,10.0
2025-02-19 00:00:00-05:00,406.32,413.9,406.09,413.18,24114200.0,0.0,0.0,1.25,409.37,3.35,22765266.67,0.0,0.0,1.0,7.0
2025-02-20 00:00:00-05:00,414.53,418.54,411.78,415.37,23508700.0,0.83,0.0,0.53,412.21,3.74,23015333.33,0.0,0.0,0.0,8.0
2025-02-21 00:00:00-05:00,416.58,417.28,407.14,407.46,27524800.0,0.0,0.0,-1.9,412.0,4.08,25049233.33,0.0,1.0,1.0,7.0
2025-02-24 00:00:00-05:00,407.76,408.62,398.59,403.26,26443700.0,0.0,0.0,-1.03,408.7,6.15,25825733.33,0.0,1.0,2.0,7.0
2025-02-25 00:00:00-05:00,400.36,401.18,395.97,397.17,29387400.0,0.0,0.0,-1.51,402.63,5.17,27785300.0,0.0,1.0,3.0,5.0
2025-02-26 00:00:00-05:00,397.28,402.86,393.53,399.0,19619000.0,0.0,0.0,0.46,399.81,3.12,25150033.33,0.0,0.0,2.0,8.0
2025-02-27 00:00:00-05:00,400.53,405.0,391.45,391.81,21127400.0,0.0,0.0,-1.8,395.99,3.74,23377933.33,0.0,1.0,2.0,7.0
2025-02-28 00:00:00-05:00,391.94,396.9,385.86,396.26,32845700.0,0.0,0.0,1.14,395.69,3.63,24530700.0,0.0,0.0,1.0,7.0
2025-03-03 00:00:00-05:00,398.09,398.09,385.45,387.78,23007700.0,0.0,0.0,-2.14,391.95,4.24,25660266.67,0.0,1.0,2.0,7.0
2025-03-04 00:00:00-05:00,382.7,391.86,380.3,387.9,29342900.0,0.0,0.0,0.03,390.65,4.86,28398766.67,0.0,0.0,1.0,8.0
2025-03-05 00:00:00-05:00,388.63,400.93,388.1,400.29,23433100.0,0.0,0.0,3.19,391.99,7.19,25261233.33,0.0,0.0,1.0,7.0
2025-03-06 00:00:00-05:00,393.56,401.41,391.96,396.16,23304600.0,0.0,0.0,-1.03,394.78,6.31,25360200.0,0.0,1.0,1.0,7.0
2025-03-07 00:00:00-05:00,391.6,394.08,384.83,392.59,22034100.0,0.0,0.0,-0.9,396.35,3.85,22923933.33,0.0,1.0,2.0,8.0
2025-03-10 00:00:00-04:00,385.13,385.69,376.53,379.46,32840100.0,0.0,0.0,-3.34,389.41,8.79,26059600.0,0.0,1.0,3.0,5.0
2025-03-11 00:00:00-04:00,378.31,385.29,376.22,379.75,30380200.0,0.0,0.0,0.08,383.94,7.5,28418133.33,0.0,0.0,2.0,8.0
2025-03-12 00:00:00-04:00,382.25,384.51,378.26,382.57,24253600.0,0.0,0.0,0.74,380.59,1.71,29157966.67,0.0,0.0,1.0,10.0
2025-03-13 00:00:00-04:00,382.46,384.61,376.76,378.08,20473000.0,0.0,0.0,-1.17,380.13,2.27,25035600.0,0.0,1.0,1.0,9.0
2025-03-14 00:00:00-04:00,379.08,389.51,378.81,387.85,19952800.0,0.0,0.0,2.58,382.83,4.89,21559800.0,0.0,0.0,1.0,7.0
2025-03-17 00:00:00-04:00,385.99,391.99,384.86,387.99,22474300.0,0.0,0.0,0.04,384.64,5.68,20966700.0,0.0,0.0,1.0,8.0
2025-03-18 00:00:00-04:00,386.36,386.66,380.4,382.82,19486900.0,0.0,0.0,-1.33,386.22,2.95,20638000.0,0.0,1.0,1.0,9.0
2025-03-19 00:00:00-04:00,384.82,388.97,383.3,387.11,19185500.0,0.0,0.0,1.12,385.97,2.77,20382233.33,0.0,0.0,1.0,9.0
2025-03-20 00:00:00-04:00,385.03,391.07,382.58,386.13,18470500.0,0.0,0.0,-0.25,385.35,2.25,19047633.33,0.0,1.0,2.0,10.0
2025-03-21 00:00:00-04:00,382.52,391.02,382.1,390.54,39675900.0,0.0,0.0,1.14,387.93,2.32,25777300.0,0.0,0.0,1.0,9.0
2025-03-24 00:00:00-04:00,394.68,394.68,389.1,392.36,21004500.0,0.0,0.0,0.47,389.68,3.2,26383633.33,0.0,0.0,1.0,8.0
2025-03-25 00:00:00-04:00,393.2,395.63,391.92,394.44,15775000.0,0.0,0.0,0.53,392.45,1.95,25485133.33,0.0,0.0,0.0,10.0
2025-03-26 00:00:00-04:00,394.28,394.59,387.86,389.26,16108400.0,0.0,0.0,-1.31,392.02,2.61,17629300.0,0.0,1.0,1.0,9.0
2025-03-27 00:00:00-04:00,389.42,391.52,386.69,389.86,13766800.0,0.0,0.0,0.16,391.19,2.83,15216733.33,0.0,0.0,1.0,10.0
2025-03-28 00:00:00-04:00,387.37,388.42,376.24,378.11,21632000.0,0.0,0.0,-3.02,385.74,6.62,17169066.67,0.0,1.0,2.0,7.0
2025-03-31 00:00:00-04:00,371.86,376.38,366.57,374.7,35184700.0,0.0,0.0,-0.9,380.89,7.96,23527833.33,0.0,1.0,2.0,8.0
2025-04-01 00:00:00-04:00,373.96,382.15,372.55,381.49,19689500.0,0.0,0.0,1.81,378.1,3.39,25502066.67,0.0,0.0,2.0,7.0
2025-04-02 00:00:00-04:00,377.28,384.37,375.93,381.44,16092600.0,0.0,0.0,-0.01,379.21,3.9,23655600.0,0.0,1.0,2.0,8.0
2025-04-03 00:00:00-04:00,374.1,376.79,368.67,372.43,30198000.0,0.0,0.0,-2.36,378.45,5.22,21993366.67,0.0,1.0,2.0,7.0
