Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Percent Change,Close_MA_3,Close_STD_3,Volume_MA_3,Volume_Spike,Down_Trend,Consecutive_Drops,Trust Score
2025-06-26 00:00:00-04:00,212.0,214.42,210.36,212.82,10531100,0.0,0.0,,,,,False,False,,10
2025-06-27 00:00:00-04:00,213.69,214.65,209.96,210.24,14127500,0.0,0.0,-1.21,,,,False,True,,9
2025-06-30 00:00:00-04:00,226.5,228.22,218.38,218.63,31844200,0.0,0.0,3.99,213.89666666666668,4.297375167859243,18834266.666666668,False,False,1.0,7
2025-07-01 00:00:00-04:00,219.3,223.17,216.31,218.96,16962200,0.0,0.0,0.15,215.94333333333336,4.941986779963426,20977966.666666668,False,False,1.0,8
2025-07-02 00:00:00-04:00,217.68,231.9,216.72,229.98,22326900,0.0,0.0,5.03,222.5233333333333,6.459770377755967,23711100.0,False,False,0.0,7
2025-07-03 00:00:00-04:00,233.22,237.99,231.2,237.32,18441400,0.0,0.0,3.19,228.75333333333333,9.241262540006847,19243500.0,False,False,0.0,7
2025-07-07 00:00:00-04:00,235.11,235.25,229.5,233.02,11659128,0.0,0.0,-1.81,233.43999999999997,3.687980477171894,17475809.333333332,False,True,1.0,7
