Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Percent Change,Close_MA_3,Close_STD_3,Volume_MA_3,Volume_Spike,Down_Trend,Consecutive_Drops,Trust Score
2024-02-06 00:00:00-05:00,145.1,145.87,143.67,144.55,21517700.0,0.0,0.0,,,,,0.0,0.0,,10.0
2024-02-07 00:00:00-05:00,145.26,146.13,144.35,145.81,21436100.0,0.0,0.0,0.87,,,,0.0,0.0,,10.0
2024-02-08 00:00:00-05:00,146.1,146.74,145.55,146.35,18241300.0,0.0,0.0,0.37,145.57,0.92,20398366.67,0.0,0.0,0.0,10.0
2024-02-09 00:00:00-05:00,147.08,149.8,146.56,149.33,21877700.0,0.0,0.0,2.04,147.17,1.9,20518366.67,0.0,0.0,0.0,9.0
2024-02-12 00:00:00-05:00,148.66,149.7,147.68,147.85,17236100.0,0.0,0.0,-0.99,147.84,1.49,19118366.67,0.0,1.0,1.0,10.0
2024-02-13 00:00:00-05:00,145.21,147.17,144.25,145.51,18138500.0,0.0,0.0,-1.59,147.56,1.93,19084100.0,0.0,1.0,2.0,9.0
2024-02-14 00:00:00-05:00,146.5,146.96,144.69,146.27,16651800.0,0.0,0.0,0.53,146.54,1.2,17342133.33,0.0,0.0,2.0,10.0
2024-02-15 00:00:00-05:00,143.61,143.9,141.04,143.09,26724300.0,0.0,0.0,-2.17,144.96,1.66,20504866.67,0.0,1.0,2.0,9.0
2024-02-16 00:00:00-05:00,143.36,143.63,140.68,140.92,21865100.0,0.0,0.0,-1.51,143.43,2.69,21747066.67,0.0,1.0,2.0,9.0
2024-02-20 00:00:00-05:00,140.11,142.48,139.97,141.36,18625600.0,0.0,0.0,0.31,141.79,1.15,22405000.0,0.0,0.0,2.0,10.0
2024-02-21 00:00:00-05:00,141.8,143.13,141.07,142.99,16440800.0,0.0,0.0,1.15,141.76,1.09,18977166.67,0.0,0.0,1.0,9.0
2024-02-22 00:00:00-05:00,145.26,145.34,143.16,144.46,23024700.0,0.0,0.0,1.03,142.94,1.55,19363700.0,0.0,0.0,0.0,9.0
2024-02-23 00:00:00-05:00,144.11,145.09,143.93,144.43,14519400.0,0.0,0.0,-0.02,143.96,0.84,17994966.67,0.0,1.0,1.0,10.0
2024-02-26 00:00:00-05:00,142.6,142.99,137.92,137.93,33513000.0,0.0,0.0,-4.5,142.27,3.76,23685700.0,0.0,1.0,2.0,7.0
2024-02-27 00:00:00-05:00,138.59,139.66,137.68,139.27,22364000.0,0.0,0.0,0.97,140.54,3.43,23465466.67,0.0,0.0,2.0,8.0
2024-02-28 00:00:00-05:00,138.28,138.46,135.83,136.62,30628700.0,0.0,0.0,-1.91,137.94,1.33,28835233.33,0.0,1.0,2.0,9.0
2024-02-29 00:00:00-05:00,137.53,139.12,136.76,138.95,35485000.0,0.0,0.0,1.71,138.28,1.45,29492566.67,0.0,0.0,1.0,9.0
2024-03-01 00:00:00-05:00,138.79,139.17,137.16,137.26,28551500.0,0.0,0.0,-1.22,137.61,1.21,31555066.67,0.0,1.0,2.0,9.0
2024-03-04 00:00:00-05:00,135.73,135.82,132.07,133.41,43571500.0,0.0,0.0,-2.81,136.54,2.84,35869333.33,0.0,1.0,2.0,9.0
2024-03-05 00:00:00-05:00,131.96,133.23,130.77,132.99,28447600.0,0.0,0.0,-0.31,134.55,2.36,33523533.33,0.0,1.0,3.0,8.0
2024-03-06 00:00:00-05:00,133.45,133.94,131.17,131.78,23175200.0,0.0,0.0,-0.91,132.72,0.85,31731433.33,0.0,1.0,3.0,8.0
2024-03-07 00:00:00-05:00,133.1,135.02,131.88,134.44,24107300.0,0.0,0.0,2.02,133.07,1.33,25243366.67,0.0,0.0,2.0,9.0
2024-03-08 00:00:00-05:00,134.24,138.16,134.0,135.48,26495200.0,0.0,0.0,0.78,133.9,1.91,24592566.67,0.0,0.0,1.0,10.0
2024-03-11 00:00:00-04:00,136.26,139.15,136.26,138.12,22536400.0,0.0,0.0,1.94,136.01,1.9,24379633.33,0.0,0.0,0.0,9.0
2024-03-12 00:00:00-04:00,137.43,139.45,137.39,138.79,19019700.0,0.0,0.0,0.49,137.47,1.75,22683766.67,0.0,0.0,0.0,10.0
2024-03-13 00:00:00-04:00,139.23,141.35,139.18,139.94,19637000.0,0.0,0.0,0.82,138.95,0.92,20397700.0,0.0,0.0,0.0,10.0
2024-03-14 00:00:00-04:00,141.46,143.87,140.65,143.49,36117900.0,0.0,0.0,2.54,140.74,2.45,24924866.67,0.0,0.0,0.0,9.0
2024-03-15 00:00:00-04:00,142.56,143.49,140.3,141.33,41039500.0,0.0,0.0,-1.5,141.59,1.79,32264800.0,0.0,1.0,1.0,9.0
2024-03-18 00:00:00-04:00,148.49,152.03,147.26,147.6,47676700.0,0.0,0.0,4.44,144.14,3.19,41611366.67,0.0,0.0,1.0,7.0
2024-03-19 00:00:00-04:00,148.1,148.74,146.14,147.05,17748400.0,0.0,0.0,-0.38,145.33,3.47,35488200.0,0.0,1.0,2.0,8.0
2024-03-20 00:00:00-04:00,147.91,148.88,146.79,148.8,17730000.0,0.0,0.0,1.19,147.81,0.89,27718366.67,0.0,0.0,1.0,9.0
2024-03-21 00:00:00-04:00,149.43,150.41,147.14,147.86,19843900.0,0.0,0.0,-0.63,147.9,0.88,18440766.67,0.0,1.0,2.0,10.0
2024-03-22 00:00:00-04:00,149.35,151.66,149.2,150.87,19252900.0,0.0,0.0,2.04,149.18,1.54,18942266.67,0.0,0.0,1.0,9.0
2024-03-25 00:00:00-04:00,150.06,150.56,147.92,150.26,15114700.0,0.0,0.0,-0.41,149.66,1.59,18070500.0,0.0,1.0,2.0,10.0
2024-03-26 00:00:00-04:00,150.35,152.29,150.14,150.8,19312700.0,0.0,0.0,0.36,150.64,0.34,17893433.33,0.0,0.0,1.0,10.0
2024-03-27 00:00:00-04:00,151.25,151.79,149.24,151.04,16622000.0,0.0,0.0,0.16,150.7,0.4,17016466.67,0.0,0.0,1.0,10.0
2024-03-28 00:00:00-04:00,151.1,151.77,150.44,151.36,21105600.0,0.0,0.0,0.21,151.07,0.28,19013433.33,0.0,0.0,0.0,10.0
2024-04-01 00:00:00-04:00,150.93,156.07,150.75,155.58,24469800.0,0.0,0.0,2.78,152.66,2.53,20732466.67,0.0,0.0,0.0,9.0
2024-04-02 00:00:00-04:00,153.84,155.07,152.55,154.95,17598100.0,0.0,0.0,-0.4,153.96,2.27,21057833.33,0.0,1.0,1.0,10.0
2024-04-03 00:00:00-04:00,154.0,155.62,153.22,155.45,17266200.0,0.0,0.0,0.32,155.32,0.33,19778033.33,0.0,0.0,1.0,10.0
2024-04-04 00:00:00-04:00,154.16,155.26,150.98,151.04,24184800.0,0.0,0.0,-2.83,153.81,2.41,19683033.33,0.0,1.0,2.0,9.0
2024-04-05 00:00:00-04:00,150.78,153.93,150.19,153.03,16297300.0,0.0,0.0,1.32,153.17,2.21,19249433.33,0.0,0.0,1.0,9.0
2024-04-08 00:00:00-04:00,153.1,155.73,153.08,155.22,16641500.0,0.0,0.0,1.43,153.1,2.09,19041200.0,0.0,0.0,1.0,9.0
2024-04-09 00:00:00-04:00,156.42,158.95,155.71,157.21,21521500.0,0.0,0.0,1.28,155.15,2.09,18153433.33,0.0,0.0,0.0,9.0
2024-04-10 00:00:00-04:00,156.95,157.23,155.28,156.73,16339200.0,0.0,0.0,-0.3,156.38,1.04,18167400.0,0.0,1.0,1.0,10.0
2024-04-11 00:00:00-04:00,157.4,160.17,157.0,159.84,17841700.0,0.0,0.0,1.99,157.92,1.68,18567466.67,0.0,0.0,1.0,9.0
2024-04-12 00:00:00-04:00,158.46,160.74,157.66,158.25,16989800.0,0.0,0.0,-1.0,158.27,1.56,17056900.0,0.0,1.0,2.0,10.0
2024-04-15 00:00:00-04:00,159.33,159.88,155.23,155.41,21140900.0,0.0,0.0,-1.8,157.83,2.25,18657466.67,0.0,1.0,2.0,9.0
2024-04-16 00:00:00-04:00,154.72,156.3,154.13,155.08,15413200.0,0.0,0.0,-0.21,156.24,1.74,17847966.67,0.0,1.0,3.0,8.0
2024-04-17 00:00:00-04:00,156.26,157.74,155.21,155.95,16237800.0,0.0,0.0,0.56,155.48,0.44,17597300.0,0.0,0.0,2.0,10.0
2024-04-18 00:00:00-04:00,156.0,157.55,155.29,156.53,14016100.0,0.0,0.0,0.37,155.85,0.73,15222366.67,0.0,0.0,1.0,10.0
2024-04-19 00:00:00-04:00,156.82,157.06,153.0,154.8,21479900.0,0.0,0.0,-1.11,155.76,0.88,17244600.0,0.0,1.0,1.0,9.0
2024-04-22 00:00:00-04:00,155.09,158.24,154.74,157.02,17243900.0,0.0,0.0,1.43,156.12,1.17,17579966.67,0.0,0.0,1.0,9.0
2024-04-23 00:00:00-04:00,157.65,159.53,157.03,158.98,16115400.0,0.0,0.0,1.25,156.93,2.09,18279733.33,0.0,0.0,1.0,9.0
2024-04-24 00:00:00-04:00,158.15,160.44,157.88,160.15,19485700.0,0.0,0.0,0.74,158.71,1.58,17615000.0,0.0,0.0,0.0,10.0
2024-04-25 00:00:00-04:00,152.45,157.34,151.87,157.02,36197800.0,0.0,0.0,-1.96,158.71,1.58,23932966.67,0.0,1.0,1.0,9.0
2024-04-26 00:00:00-04:00,174.95,175.38,170.39,172.66,56500800.0,0.0,0.0,9.97,163.28,8.28,37394766.67,0.0,0.0,1.0,7.0
2024-04-29 00:00:00-04:00,169.76,170.37,166.07,166.91,35914600.0,0.0,0.0,-3.33,165.53,7.91,42871066.67,0.0,1.0,2.0,7.0
2024-04-30 00:00:00-04:00,166.39,168.87,163.53,163.67,29420800.0,0.0,0.0,-1.94,167.75,4.56,40612066.67,0.0,1.0,2.0,7.0
2024-05-01 00:00:00-04:00,165.2,167.81,163.93,164.59,25223200.0,0.0,0.0,0.56,165.06,1.67,30186200.0,0.0,0.0,2.0,10.0
2024-05-02 00:00:00-04:00,165.69,167.53,164.71,167.46,17041100.0,0.0,0.0,1.75,165.24,1.98,23895033.33,0.0,0.0,1.0,9.0
2024-05-03 00:00:00-04:00,168.54,168.85,164.01,167.99,22767100.0,0.0,0.0,0.31,166.68,1.83,21677133.33,0.0,0.0,0.0,10.0
2024-05-06 00:00:00-04:00,168.22,168.9,166.9,168.83,15147900.0,0.0,0.0,0.5,168.09,0.69,18318700.0,0.0,0.0,0.0,10.0
2024-05-07 00:00:00-04:00,169.11,172.44,169.0,171.96,21102400.0,0.0,0.0,1.85,169.59,2.09,19672466.67,0.0,0.0,0.0,9.0
2024-05-08 00:00:00-04:00,169.74,170.89,169.51,170.15,14569900.0,0.0,0.0,-1.05,170.31,1.57,16940066.67,0.0,1.0,1.0,9.0
2024-05-09 00:00:00-04:00,170.14,171.42,168.93,170.57,11937700.0,0.0,0.0,0.25,170.89,0.95,15870000.0,0.0,0.0,1.0,10.0
2024-05-10 00:00:00-04:00,168.69,170.33,166.92,169.28,18740500.0,0.0,0.0,-0.75,170.0,0.65,15082700.0,0.0,1.0,2.0,10.0
2024-05-13 00:00:00-04:00,164.87,169.94,164.78,169.89,19648600.0,0.0,0.0,0.36,169.91,0.64,16775600.0,0.0,0.0,1.0,10.0
