Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Percent Change,Close_MA_3,Close_STD_3,Volume_MA_3,Volume_Spike,Down_Trend,Consecutive_Drops,Trust Score
2025-01-27 00:00:00-05:00,193.74,198.21,192.25,193.32,24970200.0,0.0,0.0,,,,,0.0,0.0,,10.0
2025-01-28 00:00:00-05:00,194.2,196.77,192.16,196.61,15939200.0,0.0,0.0,1.7,,,,0.0,0.0,,9.0
2025-01-29 00:00:00-05:00,196.91,198.0,194.73,196.72,12287800.0,0.0,0.0,0.06,195.55,1.93,17732400.0,0.0,0.0,0.0,10.0
2025-01-30 00:00:00-05:00,199.29,202.76,199.01,202.16,14571500.0,0.0,0.0,2.76,198.5,3.17,14266166.67,0.0,0.0,0.0,7.0
2025-01-31 00:00:00-05:00,203.24,206.6,203.1,205.12,17060300.0,0.0,0.0,1.47,201.33,4.26,14639866.67,0.0,0.0,0.0,7.0
2025-02-03 00:00:00-05:00,201.74,204.74,201.19,202.17,16719500.0,0.0,0.0,-1.44,203.15,1.71,16117100.0,0.0,1.0,1.0,9.0
2025-02-04 00:00:00-05:00,204.02,208.21,203.78,207.22,28285400.0,0.0,0.0,2.5,204.84,2.54,20688400.0,0.0,0.0,1.0,9.0
2025-02-05 00:00:00-05:00,192.65,194.1,189.47,192.85,43666400.0,0.0,0.0,-6.94,200.75,7.29,29557100.0,0.0,1.0,2.0,7.0
2025-02-06 00:00:00-05:00,190.54,193.38,190.04,192.86,20816600.0,0.0,0.0,0.01,197.64,8.3,30922800.0,0.0,0.0,1.0,8.0
2025-02-07 00:00:00-05:00,192.29,192.56,184.67,186.7,29565700.0,0.0,0.0,-3.19,190.8,3.55,31349566.67,0.0,1.0,2.0,7.0
2025-02-10 00:00:00-05:00,188.62,189.55,187.17,187.76,16606000.0,0.0,0.0,0.57,189.11,3.29,22329433.33,0.0,0.0,1.0,8.0
2025-02-11 00:00:00-05:00,186.4,188.36,185.65,186.63,13028100.0,0.0,0.0,-0.6,187.03,0.63,19733266.67,0.0,1.0,2.0,10.0
2025-02-12 00:00:00-05:00,184.8,186.39,183.2,185.0,17632300.0,0.0,0.0,-0.88,186.46,1.39,15755466.67,0.0,1.0,2.0,10.0
2025-02-13 00:00:00-05:00,185.5,187.55,184.45,187.44,12729300.0,0.0,0.0,1.32,186.36,1.25,14463233.33,0.0,0.0,2.0,9.0
2025-02-14 00:00:00-05:00,186.39,187.71,185.68,186.43,12714200.0,0.0,0.0,-0.54,186.29,1.23,14358600.0,0.0,1.0,2.0,10.0
2025-02-18 00:00:00-05:00,187.0,187.34,183.15,185.37,19796000.0,0.0,0.0,-0.57,186.41,1.04,15079833.33,0.0,1.0,2.0,10.0
2025-02-19 00:00:00-05:00,185.75,186.92,185.07,186.69,13120500.0,0.0,0.0,0.72,186.16,0.7,15210233.33,0.0,0.0,2.0,10.0
2025-02-20 00:00:00-05:00,186.06,186.68,184.17,186.2,12063800.0,0.0,0.0,-0.26,186.09,0.67,14993433.33,0.0,1.0,2.0,10.0
2025-02-21 00:00:00-05:00,186.85,187.03,180.71,181.16,19520800.0,0.0,0.0,-2.71,184.68,3.07,14901700.0,0.0,1.0,2.0,7.0
2025-02-24 00:00:00-05:00,183.37,184.66,180.46,180.77,18734000.0,0.0,0.0,-0.21,182.71,3.03,16772866.67,0.0,1.0,3.0,6.0
2025-02-25 00:00:00-05:00,179.73,180.34,176.36,176.96,20832500.0,0.0,0.0,-2.11,179.63,2.32,19695766.67,0.0,1.0,3.0,7.0
2025-02-26 00:00:00-05:00,176.53,177.66,173.18,174.29,23637200.0,0.0,0.0,-1.51,177.34,3.25,21067900.0,0.0,1.0,3.0,5.0
2025-02-27 00:00:00-05:00,175.53,176.18,169.36,169.81,25930500.0,0.0,0.0,-2.57,173.69,3.61,23466733.33,0.0,1.0,3.0,5.0
2025-02-28 00:00:00-05:00,169.9,172.1,168.0,171.82,30049800.0,0.0,0.0,1.18,171.97,2.24,26539166.67,0.0,0.0,2.0,9.0
2025-03-03 00:00:00-05:00,173.32,174.59,167.25,168.27,24122000.0,0.0,0.0,-2.07,169.97,1.78,26700766.67,0.0,1.0,2.0,9.0
2025-03-04 00:00:00-05:00,167.55,174.76,167.15,172.21,30711400.0,0.0,0.0,2.34,170.76,2.17,28294400.0,0.0,0.0,1.0,9.0
2025-03-05 00:00:00-05:00,171.92,175.34,170.53,174.58,18848000.0,0.0,0.0,1.38,171.68,3.19,24560466.67,0.0,0.0,1.0,7.0
2025-03-06 00:00:00-05:00,172.15,176.32,172.1,173.8,19082400.0,0.0,0.0,-0.45,173.53,1.21,22880600.0,0.0,1.0,1.0,10.0
2025-03-07 00:00:00-05:00,172.84,176.49,171.85,175.34,16395300.0,0.0,0.0,0.88,174.57,0.77,18108566.67,0.0,0.0,1.0,10.0
2025-03-10 00:00:00-04:00,169.96,170.25,165.37,167.61,28990700.0,0.2,0.0,-4.41,172.25,4.09,21489466.67,0.0,1.0,2.0,7.0
2025-03-11 00:00:00-04:00,166.48,168.45,163.04,165.78,23705900.0,0.0,0.0,-1.09,169.58,5.07,23030633.33,0.0,1.0,2.0,7.0
2025-03-12 00:00:00-04:00,168.27,169.33,165.28,168.8,19880100.0,0.0,0.0,1.82,167.4,1.52,24192233.33,0.0,0.0,2.0,9.0
2025-03-13 00:00:00-04:00,167.78,167.92,163.87,164.53,15206200.0,0.0,0.0,-2.53,166.37,2.19,19597400.0,0.0,1.0,2.0,9.0
2025-03-14 00:00:00-04:00,165.12,168.05,164.31,167.42,18611100.0,0.0,0.0,1.75,166.92,2.18,17899133.33,0.0,0.0,1.0,9.0
2025-03-17 00:00:00-04:00,167.12,168.26,165.61,166.37,17839100.0,0.0,0.0,-0.63,166.11,1.46,17218800.0,0.0,1.0,2.0,10.0
2025-03-18 00:00:00-04:00,165.76,166.24,158.61,162.47,24616800.0,0.0,0.0,-2.34,165.42,2.61,20355666.67,0.0,1.0,2.0,9.0
2025-03-19 00:00:00-04:00,163.72,167.93,162.85,166.08,24955700.0,0.0,0.0,2.22,164.98,2.17,22470533.33,0.0,0.0,2.0,9.0
2025-03-20 00:00:00-04:00,163.63,166.83,162.94,164.85,19981500.0,0.0,0.0,-0.74,164.47,1.83,23184666.67,0.0,1.0,2.0,10.0
2025-03-21 00:00:00-04:00,163.18,166.27,162.83,166.05,29882100.0,0.0,0.0,0.73,165.66,0.7,24939766.67,0.0,0.0,1.0,10.0
2025-03-24 00:00:00-04:00,169.06,170.3,167.24,169.73,18742800.0,0.0,0.0,2.21,166.88,2.54,22868800.0,0.0,0.0,1.0,9.0
2025-03-25 00:00:00-04:00,170.97,172.7,170.35,172.58,13841600.0,0.0,0.0,1.68,169.45,3.27,20822166.67,0.0,0.0,0.0,7.0
2025-03-26 00:00:00-04:00,171.09,171.73,166.66,166.94,22498000.0,0.0,0.0,-3.27,169.75,2.82,18360800.0,0.0,1.0,1.0,9.0
2025-03-27 00:00:00-04:00,166.51,167.24,163.65,163.88,21571200.0,0.0,0.0,-1.83,167.8,4.41,19303600.0,0.0,1.0,2.0,7.0
2025-03-28 00:00:00-04:00,162.17,163.61,155.15,155.87,34866500.0,0.0,0.0,-4.89,162.23,5.72,26311900.0,0.0,1.0,3.0,5.0
2025-03-31 00:00:00-04:00,154.62,156.94,152.03,156.04,33591600.0,0.0,0.0,0.11,158.6,4.58,30009766.67,0.0,0.0,2.0,8.0
2025-04-01 00:00:00-04:00,155.11,159.89,155.07,158.69,20111400.0,0.0,0.0,1.7,156.87,1.58,29523166.67,0.0,0.0,1.0,9.0
2025-04-02 00:00:00-04:00,156.77,160.08,156.34,158.67,17113300.0,0.0,0.0,-0.01,157.8,1.52,23605433.33,0.0,1.0,1.0,10.0
2025-04-03 00:00:00-04:00,152.65,154.5,152.0,152.45,28416100.0,0.0,0.0,-3.92,156.6,3.6,21880266.67,0.0,1.0,2.0,7.0
2025-04-04 00:00:00-04:00,149.72,152.91,147.36,147.56,39832200.0,0.0,0.0,-3.2,152.89,5.57,28453866.67,0.0,1.0,3.0,5.0
2025-04-07 00:00:00-04:00,143.22,154.74,142.49,149.06,47823000.0,0.0,0.0,1.02,149.69,2.5,38690433.33,0.0,0.0,2.0,9.0
2025-04-08 00:00:00-04:00,153.39,154.25,145.04,146.4,35304400.0,0.0,0.0,-1.78,147.68,1.33,40986533.33,0.0,1.0,2.0,9.0
2025-04-09 00:00:00-04:00,146.15,161.68,145.63,160.87,46479500.0,0.0,0.0,9.88,152.11,7.7,43202300.0,0.0,0.0,1.0,7.0
2025-04-10 00:00:00-04:00,158.57,159.84,152.02,155.18,35270500.0,0.0,0.0,-3.53,154.15,7.29,39018133.33,0.0,1.0,2.0,7.0
2025-04-11 00:00:00-04:00,155.4,159.67,155.4,159.21,22582000.0,0.0,0.0,2.59,158.42,2.92,34777333.33,0.0,0.0,1.0,9.0
2025-04-14 00:00:00-04:00,162.12,163.83,159.73,161.28,18255900.0,0.0,0.0,1.3,158.56,3.1,25369466.67,0.0,0.0,1.0,7.0
2025-04-15 00:00:00-04:00,161.38,161.86,157.46,158.49,15690800.0,0.0,0.0,-1.73,159.66,1.45,18842900.0,0.0,1.0,1.0,9.0
2025-04-16 00:00:00-04:00,155.28,157.99,153.73,155.31,16921500.0,0.0,0.0,-2.0,158.36,2.98,16956066.67,0.0,1.0,2.0,9.0
2025-04-17 00:00:00-04:00,156.42,156.88,150.72,153.18,19513400.0,0.0,0.0,-1.38,155.66,2.67,17375233.33,0.0,1.0,3.0,7.0
2025-04-21 00:00:00-04:00,150.78,150.88,148.22,149.68,16147800.0,0.0,0.0,-2.28,152.72,2.84,17527566.67,0.0,1.0,3.0,7.0
2025-04-22 00:00:00-04:00,150.89,154.42,150.69,153.72,15910300.0,0.0,0.0,2.7,152.19,2.19,17190500.0,0.0,0.0,2.0,9.0
2025-04-23 00:00:00-04:00,157.72,159.83,156.16,157.53,18575700.0,0.0,0.0,2.48,153.64,3.93,16877933.33,0.0,0.0,1.0,7.0
2025-04-24 00:00:00-04:00,158.33,161.52,157.9,161.28,30787500.0,0.0,0.0,2.38,157.51,3.78,21757833.33,0.0,0.0,0.0,7.0
2025-04-25 00:00:00-04:00,166.9,168.04,162.8,163.65,35148100.0,0.0,0.0,1.47,160.82,3.09,28170433.33,0.0,0.0,0.0,7.0
2025-04-28 00:00:00-04:00,164.06,164.75,160.19,162.23,20871200.0,0.0,0.0,-0.87,162.38,1.2,28935600.0,0.0,1.0,1.0,10.0
2025-04-29 00:00:00-04:00,161.85,162.48,159.2,161.87,15955200.0,0.0,0.0,-0.22,162.58,0.95,23991500.0,0.0,1.0,2.0,10.0
2025-04-30 00:00:00-04:00,159.67,161.18,156.97,160.7,20639500.0,0.0,0.0,-0.72,161.6,0.8,19155300.0,0.0,1.0,3.0,8.0
2025-05-01 00:00:00-04:00,162.32,163.74,160.74,162.59,21904300.0,0.0,0.0,1.18,161.72,0.96,19499666.67,0.0,0.0,2.0,9.0
2025-05-02 00:00:00-04:00,164.76,166.5,163.46,165.61,16844900.0,0.0,0.0,1.86,162.97,2.48,19796233.33,0.0,0.0,1.0,9.0
2025-05-05 00:00:00-04:00,164.32,166.9,164.27,165.85,15309300.0,0.0,0.0,0.14,164.69,1.81,18019500.0,0.0,0.0,0.0,10.0
2025-05-06 00:00:00-04:00,163.76,166.54,162.93,165.0,10691900.0,0.0,0.0,-0.51,165.49,0.44,14282033.33,0.0,1.0,1.0,10.0
2025-05-07 00:00:00-04:00,165.87,166.79,149.31,152.62,78729800.0,0.0,0.0,-7.51,161.16,7.41,34910333.33,1.0,1.0,2.0,6.0
2025-05-08 00:00:00-04:00,155.73,157.22,153.92,155.56,38387500.0,0.0,0.0,1.93,157.73,6.47,42603066.67,0.0,0.0,2.0,7.0
2025-05-09 00:00:00-04:00,155.36,156.24,153.65,154.19,22871000.0,0.0,0.0,-0.88,154.12,1.47,46662766.67,0.0,1.0,2.0,10.0
2025-05-12 00:00:00-04:00,158.91,160.25,157.7,159.39,31884900.0,0.0,0.0,3.37,156.38,2.69,31047800.0,0.0,0.0,1.0,9.0
2025-05-13 00:00:00-04:00,159.73,161.87,157.39,160.7,24944300.0,0.0,0.0,0.82,158.09,3.44,26566733.33,0.0,0.0,1.0,8.0
2025-05-14 00:00:00-04:00,161.12,168.14,160.74,166.61,31769200.0,0.0,0.0,3.68,162.23,3.85,29532800.0,0.0,0.0,0.0,7.0
2025-05-15 00:00:00-04:00,166.94,167.31,163.64,165.2,22717600.0,0.0,0.0,-0.85,164.17,3.09,26477033.33,0.0,1.0,1.0,8.0
2025-05-16 00:00:00-04:00,168.73,170.45,166.75,167.23,36271400.0,0.0,0.0,1.23,166.35,1.04,30252733.33,0.0,0.0,1.0,9.0
