Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Percent Change,Close_MA_3,Close_STD_3,Volume_MA_3,Volume_Spike,Down_Trend,Consecutive_Drops,Trust Score
2024-02-06 09:30:00-05:00,183.55,184.68,183.21,184.0,561134.0,0.0,0.0,,,,,0.0,0.0,,10.0
2024-02-06 10:30:00-05:00,183.99,184.37,183.44,183.62,370740.0,0.0,0.0,-0.21,,,,0.0,1.0,,10.0
2024-02-06 11:30:00-05:00,183.62,183.86,183.04,183.83,374719.0,0.0,0.0,0.11,183.82,0.19,435531.0,0.0,0.0,1.0,10.0
2024-02-06 12:30:00-05:00,183.86,184.49,183.46,183.64,440790.0,0.0,0.0,-0.11,183.7,0.12,395416.33,0.0,1.0,2.0,10.0
2024-02-06 13:30:00-05:00,183.65,184.23,183.25,183.31,302512.0,0.0,0.0,-0.18,183.59,0.26,372673.67,0.0,1.0,2.0,10.0
2024-02-06 14:30:00-05:00,183.31,183.62,183.2,183.26,276629.0,0.0,0.0,-0.03,183.41,0.2,339977.0,0.0,1.0,3.0,8.0
2024-02-06 15:30:00-05:00,183.27,183.46,183.13,183.43,474943.0,0.0,0.0,0.09,183.34,0.08,351361.33,0.0,0.0,2.0,10.0
2024-02-07 09:30:00-05:00,183.34,183.85,182.62,183.21,655284.0,0.0,0.0,-0.12,183.3,0.11,468952.0,0.0,1.0,2.0,10.0
2024-02-07 10:30:00-05:00,183.24,183.4,182.69,183.0,589799.0,0.0,0.0,-0.11,183.21,0.22,573342.0,0.0,1.0,2.0,10.0
2024-02-07 11:30:00-05:00,183.04,183.96,182.87,183.92,621247.0,0.0,0.0,0.5,183.38,0.48,622110.0,0.0,0.0,2.0,10.0
2024-02-07 12:30:00-05:00,183.94,183.95,183.27,183.85,362631.0,0.0,0.0,-0.04,183.59,0.51,524559.0,0.0,1.0,2.0,10.0
2024-02-07 13:30:00-05:00,183.85,184.02,183.2,183.6,342270.0,0.0,0.0,-0.14,183.79,0.17,442049.33,0.0,1.0,2.0,10.0
2024-02-07 14:30:00-05:00,183.65,183.69,183.05,183.06,397292.0,0.0,0.0,-0.29,183.5,0.4,367397.67,0.0,1.0,3.0,8.0
2024-02-07 15:30:00-05:00,183.04,183.79,183.02,183.75,634334.0,0.0,0.0,0.38,183.47,0.36,457965.33,0.0,0.0,2.0,10.0
2024-02-08 09:30:00-05:00,182.63,183.21,181.49,182.15,752364.0,1.66,0.0,-0.87,182.99,0.8,594663.33,0.0,1.0,2.0,10.0
2024-02-08 10:30:00-05:00,182.15,183.34,181.63,182.97,723744.0,0.0,0.0,0.45,182.96,0.8,703480.67,0.0,0.0,1.0,10.0
2024-02-08 11:30:00-05:00,182.96,183.24,182.37,182.74,307433.0,0.0,0.0,-0.13,182.62,0.42,594513.67,0.0,1.0,2.0,10.0
2024-02-08 12:30:00-05:00,182.76,183.49,182.66,183.49,356857.0,0.0,0.0,0.41,183.07,0.39,462678.0,0.0,0.0,1.0,10.0
2024-02-08 13:30:00-05:00,183.49,183.91,183.44,183.86,434942.0,0.0,0.0,0.2,183.36,0.57,366410.67,0.0,0.0,1.0,10.0
2024-02-08 14:30:00-05:00,183.87,184.38,183.67,184.3,659249.0,0.0,0.0,0.24,183.88,0.41,483682.67,0.0,0.0,0.0,10.0
2024-02-08 15:30:00-05:00,184.3,184.55,184.11,184.39,740838.0,0.0,0.0,0.05,184.18,0.28,611676.33,0.0,0.0,0.0,10.0
2024-02-09 09:30:00-05:00,184.44,186.54,183.85,186.49,1074248.0,0.0,0.0,1.14,185.06,1.24,824778.33,0.0,0.0,0.0,9.0
2024-02-09 10:30:00-05:00,186.52,186.7,185.86,186.06,547802.0,0.0,0.0,-0.23,185.65,1.11,787629.33,0.0,1.0,1.0,10.0
2024-02-09 11:30:00-05:00,186.05,186.07,185.62,185.83,388014.0,0.0,0.0,-0.12,186.13,0.34,670021.33,0.0,1.0,2.0,10.0
2024-02-09 12:30:00-05:00,185.82,186.99,185.74,186.89,435763.0,0.0,0.0,0.57,186.26,0.56,457193.0,0.0,0.0,2.0,10.0
2024-02-09 13:30:00-05:00,186.9,187.18,186.45,186.83,608583.0,0.0,0.0,-0.03,186.52,0.6,477453.33,0.0,1.0,2.0,10.0
2024-02-09 14:30:00-05:00,186.86,186.92,186.35,186.43,522492.0,0.0,0.0,-0.21,186.72,0.25,522279.33,0.0,1.0,2.0,10.0
2024-02-09 15:30:00-05:00,186.42,186.42,185.98,186.32,671817.0,0.0,0.0,-0.06,186.53,0.27,600964.0,0.0,1.0,3.0,8.0
2024-02-12 09:30:00-05:00,185.9,186.18,184.03,184.57,747718.0,0.0,0.0,-0.94,185.78,1.05,647342.33,0.0,1.0,3.0,8.0
2024-02-12 10:30:00-05:00,184.59,186.05,184.55,185.95,512426.0,0.0,0.0,0.75,185.61,0.92,643987.0,0.0,0.0,2.0,10.0
2024-02-12 11:30:00-05:00,185.94,186.02,185.47,185.74,297378.0,0.0,0.0,-0.11,185.42,0.74,519174.0,0.0,1.0,2.0,10.0
2024-02-12 12:30:00-05:00,185.74,185.82,185.32,185.51,382585.0,0.0,0.0,-0.12,185.74,0.22,397463.0,0.0,1.0,2.0,10.0
2024-02-12 13:30:00-05:00,185.51,186.09,185.45,185.86,607743.0,0.0,0.0,0.19,185.71,0.18,429235.33,0.0,0.0,2.0,10.0
2024-02-12 14:30:00-05:00,185.88,186.27,185.68,185.73,403206.0,0.0,0.0,-0.07,185.7,0.17,464511.33,0.0,1.0,2.0,10.0
2024-02-12 15:30:00-05:00,185.73,186.48,185.68,186.16,607068.0,0.0,0.0,0.23,185.92,0.22,539339.0,0.0,0.0,1.0,10.0
2024-02-13 09:30:00-05:00,184.28,184.76,182.36,183.51,710083.0,0.0,0.0,-1.42,185.13,1.42,573452.33,0.0,1.0,2.0,9.0
2024-02-13 10:30:00-05:00,183.49,184.42,183.3,184.21,740459.0,0.0,0.0,0.38,184.63,1.37,685870.0,0.0,0.0,1.0,10.0
2024-02-13 11:30:00-05:00,184.22,184.27,183.67,183.67,308988.0,0.0,0.0,-0.29,183.8,0.37,586510.0,0.0,1.0,2.0,10.0
2024-02-13 12:30:00-05:00,183.66,184.18,183.61,184.05,258559.0,0.0,0.0,0.21,183.98,0.28,436002.0,0.0,0.0,1.0,10.0
2024-02-13 13:30:00-05:00,184.09,184.13,182.83,183.03,243868.0,0.0,0.0,-0.55,183.58,0.52,270471.67,0.0,1.0,2.0,10.0
