Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Percent Change,Close_MA_3,Close_STD_3,Volume_MA_3,Volume_Spike,Down_Trend,Consecutive_Drops,Trust Score
2024-02-09 15:30:00-05:00,71.94,72.18,71.83,72.13,4191234.0,0.0,0.0,0.27,72.01,0.11,4376884.67,0.0,0.0,1.0,10.0
2024-02-12 09:30:00-05:00,72.6,73.5,72.14,73.14,14869090.0,0.0,0.0,1.39,72.4,0.64,7698031.0,0.0,0.0,1.0,9.0
2024-02-12 10:30:00-05:00,73.13,74.2,73.01,74.05,9483690.0,0.0,0.0,1.25,73.11,0.96,9514671.33,0.0,0.0,0.0,9.0
2024-02-12 11:30:00-05:00,74.05,74.61,73.32,73.59,7362230.0,0.0,0.0,-0.62,73.59,0.46,10571670.0,0.0,1.0,1.0,10.0
2024-02-12 12:30:00-05:00,73.59,73.75,72.66,72.73,5298221.0,0.0,0.0,-1.17,73.46,0.67,7381380.33,0.0,1.0,2.0,9.0
2024-02-12 13:30:00-05:00,72.73,72.74,71.25,72.16,10989712.0,0.0,0.0,-0.79,72.83,0.72,7883387.67,0.0,1.0,3.0,8.0
2024-02-12 14:30:00-05:00,72.13,72.76,71.88,72.54,6803291.0,0.0,0.0,0.53,72.48,0.29,7697074.67,0.0,0.0,2.0,10.0
2024-02-12 15:30:00-05:00,72.54,72.68,72.2,72.29,3337843.0,0.0,0.0,-0.34,72.33,0.19,7043615.33,0.0,1.0,2.0,10.0
2024-02-13 09:30:00-05:00,70.4,72.43,69.62,72.43,19665605.0,0.0,0.0,0.18,72.42,0.12,9935579.67,0.0,0.0,1.0,10.0
2024-02-13 10:30:00-05:00,72.42,73.45,72.21,73.09,11474119.0,0.0,0.0,0.92,72.6,0.43,11492522.33,0.0,0.0,1.0,10.0
2024-02-13 11:30:00-05:00,73.09,73.13,72.13,72.36,5635053.0,0.0,0.0,-1.0,72.63,0.4,12258259.0,0.0,1.0,1.0,10.0
2024-02-13 12:30:00-05:00,72.36,72.81,71.82,72.33,5234490.0,0.0,0.0,-0.04,72.59,0.43,7447887.33,0.0,1.0,2.0,10.0
2024-02-13 13:30:00-05:00,72.33,72.45,71.76,72.1,4309732.0,0.0,0.0,-0.33,72.26,0.14,5059758.33,0.0,1.0,3.0,8.0
2024-02-13 14:30:00-05:00,72.07,72.47,71.35,71.62,6172161.0,0.0,0.0,-0.67,72.02,0.37,5238794.33,0.0,1.0,3.0,8.0
2024-02-13 15:30:00-05:00,71.62,72.2,71.42,72.19,4941467.0,0.0,0.0,0.8,71.97,0.31,5141120.0,0.0,0.0,2.0,10.0
2024-02-14 09:30:00-05:00,73.2,74.24,73.01,74.11,14491978.0,0.0,0.0,2.66,72.64,1.31,8535202.0,0.0,0.0,1.0,9.0
2024-02-14 10:30:00-05:00,74.1,74.15,71.94,72.52,9769137.0,0.0,0.0,-2.15,72.94,1.03,9734194.0,0.0,1.0,1.0,9.0
2024-02-14 11:30:00-05:00,72.52,72.91,72.19,72.87,5366858.0,0.0,0.0,0.48,73.17,0.84,9875991.0,0.0,0.0,1.0,10.0
2024-02-14 12:30:00-05:00,72.88,73.07,72.45,72.89,4552996.0,0.0,0.0,0.03,72.76,0.21,6562997.0,0.0,0.0,1.0,10.0
2024-02-14 13:30:00-05:00,72.9,73.18,72.64,73.09,4101939.0,0.0,0.0,0.27,72.95,0.12,4673931.0,0.0,0.0,0.0,10.0
2024-02-14 14:30:00-05:00,73.09,73.47,73.0,73.4,4407749.0,0.0,0.0,0.42,73.13,0.26,4354228.0,0.0,0.0,0.0,10.0
2024-02-14 15:30:00-05:00,73.39,73.91,73.38,73.85,4480436.0,0.0,0.0,0.62,73.45,0.38,4330041.33,0.0,0.0,0.0,10.0
2024-02-15 09:30:00-05:00,73.87,73.97,72.4,73.07,14569301.0,0.0,0.0,-1.06,73.44,0.39,7819162.0,0.0,1.0,1.0,9.0
2024-02-15 10:30:00-05:00,73.07,73.5,72.71,73.12,6583038.0,0.0,0.0,0.07,73.35,0.44,8544258.33,0.0,0.0,1.0,10.0
2024-02-15 11:30:00-05:00,73.12,73.26,72.71,73.15,4030155.0,0.0,0.0,0.04,73.11,0.04,8394164.67,0.0,0.0,1.0,10.0
2024-02-15 12:30:00-05:00,73.15,73.38,73.05,73.3,3375388.0,0.0,0.0,0.21,73.19,0.1,4662860.33,0.0,0.0,0.0,10.0
2024-02-15 13:30:00-05:00,73.31,73.33,72.86,73.21,3694241.0,0.0,0.0,-0.13,73.22,0.08,3699928.0,0.0,1.0,1.0,10.0
2024-02-15 14:30:00-05:00,73.21,73.28,72.66,72.85,4022249.0,0.0,0.0,-0.49,73.12,0.24,3697292.67,0.0,1.0,2.0,10.0
2024-02-15 15:30:00-05:00,72.86,72.94,72.57,72.66,3272555.0,0.0,0.0,-0.27,72.91,0.28,3663015.0,0.0,1.0,3.0,8.0
2024-02-16 09:30:00-05:00,74.1,74.4,72.5,73.24,16443451.0,0.0,0.0,0.8,72.92,0.29,7912751.67,1.0,0.0,2.0,9.0
2024-02-16 10:30:00-05:00,73.24,74.02,72.81,73.84,6768419.0,0.0,0.0,0.82,73.24,0.59,8828141.67,0.0,0.0,1.0,10.0
2024-02-16 11:30:00-05:00,73.87,74.14,73.7,73.9,4572035.0,0.0,0.0,0.09,73.66,0.37,9261301.67,0.0,0.0,0.0,10.0
2024-02-16 12:30:00-05:00,73.91,73.95,73.04,73.27,4219312.0,0.0,0.0,-0.86,73.67,0.35,5186588.67,0.0,1.0,1.0,10.0
2024-02-16 13:30:00-05:00,73.27,74.1,73.25,73.79,4926030.0,0.0,0.0,0.71,73.65,0.34,4572459.0,0.0,0.0,1.0,10.0
2024-02-16 14:30:00-05:00,73.8,73.93,73.02,73.36,4940793.0,0.0,0.0,-0.59,73.47,0.28,4695378.33,0.0,1.0,2.0,10.0
2024-02-16 15:30:00-05:00,73.35,73.39,72.5,72.6,4978004.0,0.0,0.0,-1.03,73.25,0.6,4948275.67,0.0,1.0,2.0,9.0
2024-02-20 09:30:00-05:00,71.6,71.91,68.21,68.37,24581853.0,0.0,0.0,-5.83,71.44,2.69,11500216.67,1.0,1.0,3.0,6.0
2024-02-20 10:30:00-05:00,68.36,69.2,67.91,68.64,10541057.0,0.0,0.0,0.41,69.87,2.37,13366971.33,0.0,0.0,2.0,10.0
2024-02-20 11:30:00-05:00,68.62,68.64,67.73,68.3,7651911.0,0.0,0.0,-0.5,68.44,0.18,14258273.67,0.0,1.0,2.0,10.0
2024-02-20 12:30:00-05:00,68.31,68.46,67.86,68.28,5561737.0,0.0,0.0,-0.03,68.41,0.21,7918235.0,0.0,1.0,2.0,10.0
2024-02-20 13:30:00-05:00,68.29,68.87,67.95,68.63,5552768.0,0.0,0.0,0.52,68.4,0.2,6255472.0,0.0,0.0,2.0,10.0
2024-02-20 14:30:00-05:00,68.62,69.6,68.55,69.19,7421142.0,0.0,0.0,0.8,68.7,0.46,6178549.0,0.0,0.0,1.0,10.0
2024-02-20 15:30:00-05:00,69.19,69.54,68.95,69.46,5456405.0,0.0,0.0,0.39,69.09,0.42,6143438.33,0.0,0.0,0.0,10.0
2024-02-21 09:30:00-05:00,68.0,68.89,67.7,67.91,13298661.0,0.0,0.0,-2.22,68.85,0.82,8725402.67,0.0,1.0,1.0,9.0
2024-02-21 10:30:00-05:00,67.91,68.33,67.77,68.07,5318878.0,0.0,0.0,0.23,68.48,0.85,8024648.0,0.0,0.0,1.0,10.0
2024-02-21 11:30:00-05:00,68.08,68.21,66.61,67.13,7946663.0,0.0,0.0,-1.38,67.7,0.5,8854734.0,0.0,1.0,2.0,9.0
2024-02-21 12:30:00-05:00,67.12,67.42,66.87,67.01,5478248.0,0.0,0.0,-0.18,67.4,0.58,6247929.67,0.0,1.0,2.0,10.0
2024-02-21 13:30:00-05:00,66.99,67.5,66.72,66.82,5470657.0,0.0,0.0,-0.28,66.99,0.16,6298522.67,0.0,1.0,3.0,8.0
2024-02-21 14:30:00-05:00,66.82,67.02,66.25,66.87,8104741.0,0.0,0.0,0.07,66.9,0.1,6351215.33,0.0,0.0,2.0,10.0
2024-02-21 15:30:00-05:00,66.88,67.6,66.82,67.5,7182953.0,0.0,0.0,0.94,67.06,0.38,6919450.33,0.0,0.0,1.0,10.0
2024-02-22 09:30:00-05:00,74.8,78.08,74.22,77.75,38795056.0,0.0,0.0,15.19,70.7,6.11,18027583.33,1.0,0.0,0.0,6.0
2024-02-22 10:30:00-05:00,77.77,78.08,77.16,77.65,10529171.0,0.0,0.0,-0.13,74.3,5.89,18835726.67,0.0,1.0,1.0,8.0
2024-02-22 11:30:00-05:00,77.65,78.15,77.4,77.47,7359895.0,0.0,0.0,-0.23,77.62,0.14,18894707.33,0.0,1.0,2.0,10.0
2024-02-22 12:30:00-05:00,77.48,77.65,77.06,77.4,5508300.0,0.0,0.0,-0.09,77.5,0.13,7799122.0,0.0,1.0,3.0,8.0
2024-02-22 13:30:00-05:00,77.4,77.93,77.29,77.9,5335014.0,0.0,0.0,0.65,77.59,0.27,6067736.33,0.0,0.0,2.0,10.0
2024-02-22 14:30:00-05:00,77.9,78.38,77.69,78.17,6922302.0,0.0,0.0,0.35,77.82,0.39,5921872.0,0.0,0.0,1.0,10.0
2024-02-22 15:30:00-05:00,78.17,78.57,78.03,78.53,6582620.0,0.0,0.0,0.45,78.2,0.31,6279978.67,0.0,0.0,0.0,10.0
2024-02-23 09:30:00-05:00,80.79,82.39,79.66,79.7,27888684.0,0.0,0.0,1.49,78.8,0.8,13797868.67,1.0,0.0,0.0,8.0
2024-02-23 10:30:00-05:00,79.71,80.05,77.57,79.13,17028128.0,0.0,0.0,-0.72,79.12,0.59,17166477.33,0.0,1.0,1.0,10.0
2024-02-23 11:30:00-05:00,79.13,80.44,78.75,79.61,11111459.0,0.0,0.0,0.61,79.48,0.31,18676090.33,0.0,0.0,1.0,10.0
2024-02-23 12:30:00-05:00,79.65,80.28,79.13,80.06,6394801.0,0.0,0.0,0.57,79.6,0.47,11511462.67,0.0,0.0,1.0,10.0
2024-02-23 13:30:00-05:00,80.07,80.28,79.56,79.68,5191959.0,0.0,0.0,-0.48,79.78,0.24,7566073.0,0.0,1.0,1.0,10.0
2024-02-23 14:30:00-05:00,79.69,79.99,78.65,78.82,6577690.0,0.0,0.0,-1.07,79.52,0.63,6054816.67,0.0,1.0,2.0,9.0
2024-02-23 15:30:00-05:00,78.82,79.31,78.68,78.82,5502318.0,0.0,0.0,-0.01,79.11,0.49,5757322.33,0.0,1.0,3.0,8.0
2024-02-26 09:30:00-05:00,80.0,80.65,78.5,79.83,17249471.0,0.0,0.0,1.28,79.16,0.58,9776493.0,0.0,0.0,2.0,9.0
2024-02-26 10:30:00-05:00,79.83,80.0,79.37,79.95,6189139.0,0.0,0.0,0.16,79.53,0.62,9646976.0,0.0,0.0,1.0,10.0
2024-02-26 11:30:00-05:00,79.95,80.29,79.6,80.11,5438356.0,0.0,0.0,0.19,79.96,0.14,9625655.33,0.0,0.0,0.0,10.0
2024-02-26 12:30:00-05:00,80.11,80.26,79.76,79.86,3966556.0,0.0,0.0,-0.31,79.97,0.12,5198017.0,0.0,1.0,1.0,10.0
2024-02-26 13:30:00-05:00,79.86,79.97,79.14,79.51,5299396.0,0.0,0.0,-0.44,79.83,0.3,4901436.0,0.0,1.0,2.0,10.0
2024-02-26 14:30:00-05:00,79.5,79.68,78.79,79.18,5862487.0,0.0,0.0,-0.42,79.52,0.34,5042813.0,0.0,1.0,3.0,8.0
2024-02-26 15:30:00-05:00,79.17,79.39,79.05,79.09,3933486.0,0.0,0.0,-0.11,79.26,0.22,5031789.67,0.0,1.0,3.0,8.0
2024-02-27 09:30:00-05:00,79.2,79.44,77.16,78.62,14829604.0,0.0,0.0,-0.6,78.96,0.3,8208525.67,0.0,1.0,3.0,8.0
2024-02-27 10:30:00-05:00,78.6,79.0,78.41,78.61,4302284.0,0.0,0.0,-0.01,78.77,0.28,7688458.0,0.0,1.0,3.0,8.0
2024-02-27 11:30:00-05:00,78.61,79.3,78.56,79.17,4711625.0,0.0,0.0,0.72,78.8,0.32,7947837.67,0.0,0.0,2.0,10.0
2024-02-27 12:30:00-05:00,79.19,79.48,78.72,79.17,4143598.0,0.0,0.0,-0.01,78.98,0.32,4385835.67,0.0,1.0,2.0,10.0
2024-02-27 13:30:00-05:00,79.17,79.28,78.95,79.12,3397370.0,0.0,0.0,-0.06,79.15,0.03,4084197.67,0.0,1.0,2.0,10.0
2024-02-27 14:30:00-05:00,79.14,79.25,78.84,79.1,3122546.0,0.0,0.0,-0.02,79.13,0.03,3554504.67,0.0,1.0,3.0,8.0
2024-02-27 15:30:00-05:00,79.1,79.12,78.7,78.7,2567724.0,0.0,0.0,-0.51,78.98,0.24,3029213.33,0.0,1.0,3.0,8.0
2024-02-28 09:30:00-05:00,77.62,78.16,77.22,77.34,12455975.0,0.0,0.0,-1.73,78.38,0.93,6048748.33,1.0,1.0,3.0,6.0
2024-02-28 10:30:00-05:00,77.34,78.33,77.12,78.23,6079478.0,0.0,0.0,1.15,78.09,0.69,7034392.33,0.0,0.0,2.0,9.0
2024-02-28 11:30:00-05:00,78.25,78.93,78.22,78.4,5355832.0,0.0,0.0,0.22,77.99,0.57,7963761.67,0.0,0.0,1.0,10.0
2024-02-28 12:30:00-05:00,78.41,78.47,78.1,78.42,3233076.0,0.0,0.0,0.02,78.35,0.1,4889462.0,0.0,0.0,0.0,10.0
2024-02-28 13:30:00-05:00,78.42,78.54,78.15,78.19,2584919.0,0.0,0.0,-0.29,78.34,0.13,3724609.0,0.0,1.0,1.0,10.0
2024-02-28 14:30:00-05:00,78.17,78.33,77.92,78.22,3361901.0,0.0,0.0,0.03,78.27,0.12,3059965.33,0.0,0.0,1.0,10.0
2024-02-28 15:30:00-05:00,78.21,78.22,77.5,77.68,2794577.0,0.0,0.0,-0.69,78.03,0.3,2913799.0,0.0,1.0,2.0,10.0
2024-02-29 09:30:00-05:00,79.25,79.83,79.01,79.35,14019565.0,0.0,0.0,2.15,78.41,0.85,6725347.67,1.0,0.0,1.0,8.0
2024-02-29 10:30:00-05:00,79.35,79.65,78.83,79.0,5075589.0,0.0,0.0,-0.44,78.68,0.88,7296577.0,0.0,1.0,2.0,10.0
2024-02-29 11:30:00-05:00,79.0,79.24,78.35,78.91,4843632.0,0.0,0.0,-0.12,79.09,0.23,7979595.33,0.0,1.0,2.0,10.0
2024-02-29 12:30:00-05:00,78.91,79.38,78.85,79.36,3094226.0,0.0,0.0,0.58,79.09,0.24,4337815.67,0.0,0.0,2.0,10.0
2024-02-29 13:30:00-05:00,79.38,79.51,79.13,79.33,2924118.0,0.0,0.0,-0.05,79.2,0.25,3620658.67,0.0,1.0,2.0,10.0
2024-02-29 14:30:00-05:00,79.32,79.48,79.18,79.31,2890914.0,0.0,0.0,-0.02,79.34,0.03,2969752.67,0.0,1.0,2.0,10.0
2024-02-29 15:30:00-05:00,79.33,79.99,78.9,79.22,5385555.0,0.0,0.0,-0.12,79.29,0.06,3733529.0,0.0,1.0,3.0,8.0
2024-03-01 09:30:00-05:00,80.12,80.95,79.44,80.78,9558052.0,0.0,0.0,1.97,79.77,0.87,5944840.33,0.0,0.0,2.0,9.0
2024-03-01 10:30:00-05:00,80.77,81.96,80.57,81.96,13632794.0,0.0,0.0,1.47,80.65,1.38,9525467.0,0.0,0.0,1.0,9.0
2024-03-01 11:30:00-05:00,81.97,82.06,81.43,81.77,6230382.0,0.0,0.0,-0.24,81.5,0.64,9807076.0,0.0,1.0,1.0,10.0
2024-03-01 12:30:00-05:00,81.76,81.96,81.65,81.77,3397839.0,0.0,0.0,0.01,81.83,0.11,7753671.67,0.0,0.0,1.0,10.0
2024-03-01 13:30:00-05:00,81.77,82.26,81.69,82.13,4523162.0,0.0,0.0,0.44,81.89,0.21,4717127.67,0.0,0.0,1.0,10.0
2024-03-01 14:30:00-05:00,82.15,82.18,81.76,82.0,4096881.0,0.0,0.0,-0.16,81.97,0.18,4005960.67,0.0,1.0,1.0,10.0
2024-03-01 15:30:00-05:00,82.0,82.3,81.84,82.29,3574458.0,0.0,0.0,0.36,82.14,0.15,4064833.67,0.0,0.0,1.0,10.0
2024-03-04 09:30:00-05:00,84.34,85.31,83.81,84.83,17164510.0,0.0,0.0,3.08,83.04,1.56,8278616.33,1.0,0.0,1.0,8.0
2024-03-04 10:30:00-05:00,84.81,85.54,84.8,85.22,0.0,0.0,0.0,0.46,84.11,1.59,6912989.33,0.0,0.0,0.0,10.0
2024-03-04 11:30:00-05:00,85.23,86.08,84.91,86.03,3941861.0,0.0,0.0,0.96,85.36,0.62,7035457.0,0.0,0.0,0.0,10.0
2024-03-04 12:30:00-05:00,86.05,86.99,85.8,86.61,5327134.0,0.0,0.0,0.67,85.95,0.7,3089665.0,0.0,0.0,0.0,10.0
2024-03-04 13:30:00-05:00,86.63,87.45,86.45,87.14,4719049.0,0.0,0.0,0.61,86.6,0.56,4662681.33,0.0,0.0,0.0,10.0
2024-03-04 14:30:00-05:00,87.14,87.69,86.55,86.64,5585209.0,0.0,0.0,-0.58,86.8,0.3,5210464.0,0.0,1.0,1.0,10.0
2024-03-04 15:30:00-05:00,86.62,86.83,84.8,85.25,22062982.0,0.0,0.0,-1.6,86.34,0.98,10789080.0,1.0,1.0,2.0,8.0
2024-03-05 09:30:00-05:00,85.3,86.08,84.05,84.2,16033694.0,0.0,0.0,-1.23,85.36,1.22,14560628.33,0.0,1.0,3.0,7.0
2024-03-05 10:30:00-05:00,84.2,84.73,83.42,84.63,7994638.0,0.0,0.0,0.51,84.69,0.53,15363771.33,0.0,0.0,2.0,10.0
2024-03-05 11:30:00-05:00,84.47,85.32,84.31,85.31,0.0,0.0,0.0,0.8,84.71,0.56,8009444.0,0.0,0.0,1.0,10.0
2024-03-05 12:30:00-05:00,85.31,85.41,84.6,84.8,3246168.0,0.0,0.0,-0.6,84.91,0.35,3746935.33,0.0,1.0,1.0,10.0
2024-03-05 13:30:00-05:00,84.8,85.18,84.46,85.02,3280186.0,0.0,0.0,0.26,85.04,0.25,2175451.33,0.0,0.0,1.0,10.0
2024-03-05 14:30:00-05:00,85.03,85.21,84.49,84.74,3361057.0,0.0,0.0,-0.33,84.85,0.15,3295803.67,0.0,1.0,2.0,10.0
2024-03-05 15:30:00-05:00,84.72,86.0,84.71,85.99,17089094.0,0.0,0.0,1.48,85.25,0.66,7910112.33,1.0,0.0,1.0,8.0
2024-03-06 09:30:00-05:00,87.76,88.93,87.03,88.27,18173096.0,0.0,0.0,2.65,86.34,1.79,12874415.67,0.0,0.0,1.0,9.0
2024-03-06 10:30:00-05:00,88.28,88.67,88.0,88.39,0.0,0.0,0.0,0.13,87.55,1.35,11754063.33,0.0,0.0,0.0,10.0
2024-03-06 11:30:00-05:00,88.39,88.89,87.87,88.78,3623441.0,0.0,0.0,0.45,88.48,0.27,7265512.33,0.0,0.0,0.0,10.0
2024-03-06 12:30:00-05:00,88.79,89.72,88.51,89.45,4344532.0,0.0,0.0,0.75,88.88,0.54,2655991.0,0.0,0.0,0.0,10.0
2024-03-06 13:30:00-05:00,89.46,89.6,88.44,89.29,5264343.0,0.0,0.0,-0.18,89.18,0.35,4410772.0,0.0,1.0,1.0,10.0
2024-03-06 14:30:00-05:00,89.3,89.41,88.05,88.3,4253541.0,0.0,0.0,-1.11,89.01,0.62,4620805.33,0.0,1.0,2.0,9.0
